#HEADER:Level,LevelCategory,AreaCode,AreaName
2,KECAMATAN,23833,RAWA PITU
2,KECAMATAN,23820,BANJAR MARGO
2,KECAMATAN,23811,RAWA JITU TIMUR
2,KECAMATAN,23796,PENAWAR TAMA
2,KECAMATAN,23785,RAWA JITU SELATAN
2,KECAMATAN,23773,GEDUNG MENENG
2,KECAMATAN,23760,BANJAR AGUNG
2,KECAMATAN,23749,GEDUNG AJI
2,KECAMATAN,23890,MENGGALA TIMUR
1,KABUPATEN/KOTA,23903,TANGGAMUS
2,KECAMATAN,23904,KOTA AGUNG
2,KECAMATAN,24103,KOTA AGUNG BARAT
2,KECAMATAN,24120,KOTA AGUNG TIMUR
2,KECAMATAN,24132,GISTING
2,KECAMATAN,24141,GUNUNG ALIP
2,KECAMATAN,24153,LIMAU
2,KECAMATAN,24164,BANDAR NEGERI SEMUONG
2,KECAMATAN,24175,AIR NANINGAN
2,KECAMATAN,24185,BULOK
2,KECAMATAN,24094,KLUMBAYAN
2,KECAMATAN,24080,PEMATANG SAWA
2,KECAMATAN,23920,TALANG PADANG
2,KECAMATAN,23940,WONOSOBO
2,KECAMATAN,23964,PULAU PANGGUNG
2,KECAMATAN,23983,CUKUH BALAK
2,KECAMATAN,24002,PUGUNG
2,KECAMATAN,24029,SEMAKA
2,KECAMATAN,24050,SUMBER REJO
2,KECAMATAN,24064,ULU BELU
2,KECAMATAN,24195,KLUMBAYAN BARAT
1,KABUPATEN/KOTA,24202,LAMPUNG TIMUR
2,KECAMATAN,24203,SUKADANA
2,KECAMATAN,24389,BUMI AGUNG
2,KECAMATAN,24396,BANDAR SRIBHAWONO
2,KECAMATAN,24404,MATARAM BARU
2,KECAMATAN,24412,MELINTING
2,KECAMATAN,24419,GUNUNG PELINDUNG
2,KECAMATAN,24425,PASIR SAKTI
2,KECAMATAN,24434,WAWAY KARYA
2,KECAMATAN,24446,LABUHAN RATU
2,KECAMATAN,24458,BRAJA SELEBAH
2,KECAMATAN,24466,WAY BUNGUR
2,KECAMATAN,24375,BATANGHARI NUBAN
2,KECAMATAN,24359,SEKAMPUNG UDIK
2,KECAMATAN,24221,LABUHAN MARINGGAI
2,KECAMATAN,24233,JABUNG
2,KECAMATAN,24249,PEKALONGAN
2,KECAMATAN,24260,SEKAMPUNG
2,KECAMATAN,24278,BATANGHARI
2,KECAMATAN,24296,WAY JEPARA
2,KECAMATAN,24312,PURBOLINGGO
2,KECAMATAN,24325,RAMAN UTARA
2,KECAMATAN,24337,METRO KIBANG
2,KECAMATAN,24345,MARGA TIGA
2,KECAMATAN,24475,MARGA SEKAMPUNG
1,KABUPATEN/KOTA,24484,WAY KANAN
2,KECAMATAN,24485,BLAMBANGAN UMPU
2,KECAMATAN,24691,BUAY BAHUGA
2,KECAMATAN,24680,NEGERI BESAR
2,KECAMATAN,24665,NEGARA BATIN
2,KECAMATAN,24645,GUNUNG LABUHAN
2,KECAMATAN,24634,REBANG TANGKAS
2,KECAMATAN,24621,WAY TUBA
2,KECAMATAN,24602,NEGERI AGUNG
2,KECAMATAN,24582,PAKUAN RATU
2,KECAMATAN,24573,BAHUGA
2,KECAMATAN,24550,BARADATU
2,KECAMATAN,24529,BANJIT
2,KECAMATAN,24510,KASUI
2,KECAMATAN,24699,BUMI AGUNG
1,KABUPATEN/KOTA,24850,PESAWARAN
2,KECAMATAN,24851,GEDONG TATAAN
2,KECAMATAN,24871,NEGERI KATON
2,KECAMATAN,24892,TEGINENENG
2,KECAMATAN,24908,WAY LIMA
2,KECAMATAN,24925,PADANG CERMIN
2,KECAMATAN,24949,PUNDUH PIDADA
2,KECAMATAN,24972,KEDONDONG
2,KECAMATAN,83501,MARGA PUNDUH
2,KECAMATAN,83502,WAY KHILAU
1,KABUPATEN/KOTA,22329,PRINGSEWU
2,KECAMATAN,22330,PRINGSEWU
2,KECAMATAN,22344,GADING REJO
2,KECAMATAN,22360,AMBARAWA
2,KECAMATAN,22368,PARDASUKA
2,KECAMATAN,22381,PAGELARAN
2,KECAMATAN,22406,BANYUMAS
2,KECAMATAN,22416,ADILUWIH
2,KECAMATAN,22425,SUKOHARJO
2,KECAMATAN,83503,PAGELARAN UTARA
1,KABUPATEN/KOTA,22439,MESUJI
2,KECAMATAN,22440,MESUJI
2,KECAMATAN,22450,MESUJI TIMUR
2,KECAMATAN,22464,RAWA JITU UTARA
2,KECAMATAN,22476,WAY SERDANG
2,KECAMATAN,22490,SIMPANG PEMATANG
2,KECAMATAN,22500,PANCA JAYA
2,KECAMATAN,22508,TANJUNG RAYA
1,KABUPATEN/KOTA,22522,TULANG BAWANG BARAT
2,KECAMATAN,22523,TULANG BAWANG TENGAH
2,KECAMATAN,22538,TULANG BAWANG UDIK
2,KECAMATAN,22548,GUNUNG TERANG
